,text,sentiment,site
0,way plug u unless go converter,0,Amazon
1,good case excellent value,1,Amazon
2,great jawbone,1,Amazon
3,tied charger conversation lasting minute major problem,0,Amazon
4,mic great,1,Amazon
5,jiggle plug get line right get decent volume,0,Amazon
6,several dozen several hundred contact imagine fun sending one one,0,Amazon
7,razr owner must,1,Amazon
8,needless say wasted money,0,Amazon
9,waste money time,0,Amazon
10,sound quality great,1,Amazon
11,impressed going original battery extended battery,1,Amazon
12,two seperated mere five ft started notice excessive static garbled sound headset,0,Amazon
13,good quality though,1,Amazon
14,design odd ear clip comfortable,0,Amazon
15,highly recommend one blue tooth phone,1,Amazon
16,advise everyone fooled,0,Amazon
17,far good,1,Amazon
18,work great,1,Amazon
19,click place way make wonder long mechanism would last,0,Amazon
20,went motorola website followed direction could get pair,0,Amazon
21,bought use kindle fire absolutely loved,1,Amazon
22,commercial misleading,0,Amazon
23,yet run new battery two bar three day without charging,1,Amazon
24,bought mother problem battery,0,Amazon
25,great pocket pc phone combination,1,Amazon
26,owned phone seven month say best mobile phone,1,Amazon
27,think instruction provided helpful,0,Amazon
28,people couldnt hear talk pull earphone talk phone,0,Amazon
29,hold charge,0,Amazon
30,simple little phone use breakage unacceptible,0,Amazon
31,product ideal people like whose ear sensitive,1,Amazon
32,unusable moving car freeway speed,0,Amazon
33,two year left contract hate phone,0,Amazon
34,car charger well ac charger included make sure never run juice highy recommended,1,Amazon
35,need least two min get phone book time first turn phone battery life short,0,Amazon
36,kept well,1,Amazon
37,poor talk time performance,0,Amazon
38,case great work fine,1,Amazon
39,worthless product,0,Amazon
40,great camera thats mp pic nice clear great picture quality,1,Amazon
41,impressed product,0,Amazon
42,nice headset priced right,1,Amazon
43,hear garbage audio,0,Amazon
44,excellent bluetooth headset,1,Amazon
45,feature want,1,Amazon
46,right mind gonna buy battery,0,Amazon
47,arguing verizon regarding dropped call returned phone two day,0,Amazon
48,case seems well made,1,Amazon
49,disappointed battery,0,Amazon
50,loud enough turn like,0,Amazon
51,good protection make phone bulky,1,Amazon
52,usable keyboard actually turn pda real world useful machine instead neat gadget,1,Amazon
53,phone pretty sturdy never large problem,1,Amazon
54,love thing,1,Amazon
55,everything fine reasonable price e,1,Amazon
56,disappointed,0,Amazon
57,even dropped phone stream submerged second still work great,1,Amazon
58,happy complaint one regarding sound quality end,1,Amazon
59,button bad,0,Amazon
60,essentially forget microsoft tech support,0,Amazon
61,really recommend faceplate since look nice elegant cool,1,Amazon
62,headphone great find think perhaps best purchase made last several year seriously,1,Amazon
63,buy different phone,0,Amazon
64,hold phone particular angle party hear clearly,0,Amazon
65,one big drawback mp player button phone front cover let pause skip song lock second,0,Amazon
66,week later activated suddenly died,0,Amazon
67,feel comfortable headset wear glass get way sometimes,1,Amazon
68,great ipod,1,Amazon
69,device great several situation,1,Amazon
70,mic work,0,Amazon
71,even bmw two series fairly quiet trouble hearing person saying,0,Amazon
72,great choice,1,Amazon
73,nice docking station home work,1,Amazon
74,beautiful phone,1,Amazon
75,love product,1,Amazon
76,buy wrongly advertised,0,Amazon
77,great little item,1,Amazon
78,love phone handy lot feature,1,Amazon
79,purchased within one day longer working,0,Amazon
80,wear everyday hold well,1,Amazon
81,good bargain,0,Amazon
82,well packaged arrived time work intended,1,Amazon
83,battery run quickly,0,Amazon
84,item worked great broke six month use,0,Amazon
85,headset easy use everyone love,1,Amazon
86,phone work great,1,Amazon
87,construction headset poor,0,Amazon
88,product excellent work better verizon one boy cheaper,1,Amazon
89,phone load super,1,Amazon
90,product cost much one expect work far better greater ease thing,0,Amazon
91,made sturdy,1,Amazon
